all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,7605,13251,112,157,62,5315


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
original sentence,"You should book or ensure accommodation before you board a flight for the Chathams , as during the popular months of the tourism season , between October and April , accommodation can be severely limited ."
wrong word,as 16
mutation sentence,"You should book or ensure accommodation before you board a flight for the Chathams , as during the popular months of the tourism season , accommodation can be severely limited ."

original sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you ."
wrong word,about 16
mutation sentence,"You could keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best ."

original sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than simply “ walk the dog . ”"
wrong word,than 16
mutation sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than “ walk the dog . ”"



"pos from 从句连词 to 副词
"
original sentence,For example if the word Bird is ' Vogelaviatiolap ' then why not make the word Birds ' Vogelaviatiolaps ' since the suffix ' s ' is added at the end for most languages at plurals .
wrong word,why 12
mutation sentence,For example if the word Bird is ' Vogelaviatiolap ' then why make the word Birds ' Vogelaviatiolaps ' since the suffix ' s ' is added at the end for most languages at plurals .



"pos from 从句连词 to 助词
"


"pos from 从句连词 to 并列连词
"


"pos from 从句连词 to 定冠
"


"pos from 从句连词 to 感叹
"


"pos from 从句连词 to 名词
"


"pos from 从句连词 to 数字
"


"pos from 从句连词 to 功能
"


"pos from 从句连词 to 代词
"
original sentence,"By compiling data from published literature we found that in thirty-one languages around the world , the interjection for other-initiated repair appears to be strongly similar ( Figure 1 ) ."
wrong word,that 9
mutation sentence,"By compiling data from published literature we found that , the interjection for other-initiated repair appears to be strongly similar ( Figure 1 ) ."

original sentence,The team was n't so far ahead that we knew .
wrong word,that 8
mutation sentence,The team was n't far ahead that we knew .

original sentence,Perhaps they had learned an important lesson from the Warhol exhibit that cultural events like these were ripe for use and reuse .
wrong word,that 12
mutation sentence,Perhaps they had learned an important lesson from the Warhol exhibit that events like these were ripe for use and reuse .

original sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
wrong word,that 5
mutation sentence,"Despite the common perception that Cleveland is an industrial town , , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River ."
mutation sentence,"Despite the common perception that Cleveland is an town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over by visitors who are surprised you ca n't see the other side , i.e. , Canada ) ."
mutation sentence,"Despite the common perception that Cleveland is an industrial town , just beyond the automotive and steel plants , a clean and beautiful downtown rises at the mouth of the Cuyahoga River on the southern shore of Lake Erie ( often marvelled over ) ."

original sentence,"They compensate for this by creating the impression that they have a lot of friends - they have a ' quantity , not quality ' mentality ."
wrong word,that 9
mutation sentence,"They compensate for this by creating the impression that they have a lot - they have a ' quantity , not quality ' mentality ."



"pos from 从句连词 to 特指名词
"


"pos from 从句连词 to 标点
"


"pos from 从句连词 to 从句连词
"


"pos from 从句连词 to 符号
"


"pos from 从句连词 to 动词
"


"pos from 从句连词 to 其他
"


"pos from 符号 to 形容
"


"pos from 符号 to 介词
"


"pos from 符号 to 副词
"


"pos from 符号 to 助词
"


"pos from 符号 to 并列连词
"


"pos from 符号 to 定冠
"


"pos from 符号 to 感叹
"


"pos from 符号 to 名词
"


"pos from 符号 to 数字
"


"pos from 符号 to 功能
"


"pos from 符号 to 代词
"


"pos from 符号 to 特指名词
"


"pos from 符号 to 标点
"


"pos from 符号 to 从句连词
"


"pos from 符号 to 符号
"


"pos from 符号 to 动词
"


"pos from 符号 to 其他
"


"pos from 动词 to 形容
"


"pos from 动词 to 介词
"


"pos from 动词 to 副词
"


"pos from 动词 to 助词
"
original sentence,"Well that ’s kind of an unending war , so do we want NATO to exist , do we want there to be a Western military alliance that carries out these activities , with no pretense of defense ?"
wrong word,be 23
mutation sentence,"Well that ’s kind of an unending war , so do we want NATO to exist , do we want there to be a Western alliance that carries out these activities , with no pretense of defense ?"

original sentence,"In the past Muggle Quidditch has mainly been played at colleges in the US , but over the last few years there has been a dramatic rise in the number of community teams ."
wrong word,been 24
mutation sentence,"In the past Muggle Quidditch has mainly been played at colleges in the US , but over the last few years there has been a dramatic rise ."



"pos from 动词 to 并列连词
"


"pos from 动词 to 定冠
"


"pos from 动词 to 感叹
"


"pos from 动词 to 名词
"
original sentence,"When I discovered Wikipedia , I recognized that the wiki model had the potential to build the how-to resource the world really needs ."
wrong word,needs 23
mutation sentence,"When I discovered Wikipedia , I recognized that the wiki model had the potential to build the how-to resource the world needs ."

original sentence,Executive director of the Dallas chapter of the Council on American - Islamic Relations Alia Salem said Mohamed wishes to use his newfound fame and attention to spotlight social causes including the treatment of Muslims in the United States .
wrong word,spotlight 28
mutation sentence,Executive director of the Dallas chapter of the Council on American - Islamic Relations Alia Salem said Mohamed wishes to use his newfound fame and attention to spotlight causes including the treatment of Muslims in the United States .

original sentence,Greek court rules worship of ancient Greek deities is legal
wrong word,rules 3
mutation sentence,court rules worship of ancient Greek deities is legal
mutation sentence,Greek court rules worship is legal

original sentence,"From the west , the A59 and the M62 provide connections from Liverpool and Manchester , and from the north the A1 and the A19 link York with Tyneside , Northumberland and south-eastern Scotland ."
wrong word,link 26
mutation sentence,"From the west , the A59 and the M62 provide connections from Liverpool and Manchester , and from the north the A1 and the A19 link York ."

original sentence,"For example , if you invented the word ' China ' as ' Khinssa ' , ' Drink ' as ' Bever ' , and the word ' Accident ' as ' Casnondelibreaten ' , why not make the word ' tea ' as ' Khincasnonbever ' or ' Bevernondelibreatekin ' or even ' Khinssacasnondelibreatenibever ' !"
wrong word,Drink 18
mutation sentence,"For example , if you invented the word ' China ' as ' Khinssa ' , ' Drink ' , and the word ' Accident ' as ' Casnondelibreaten ' , why not make the word ' tea ' as ' Khincasnonbever ' or ' Bevernondelibreatekin ' or even ' Khinssacasnondelibreatenibever ' !"

original sentence,If you 're playing quidditch you 're probably just having fun so play nicely .
wrong word,play 13
mutation sentence,If you 're playing quidditch you 're probably just having fun play nicely .



"pos from 动词 to 数字
"


"pos from 动词 to 功能
"


"pos from 动词 to 代词
"


"pos from 动词 to 特指名词
"


"pos from 动词 to 标点
"


"pos from 动词 to 从句连词
"


"pos from 动词 to 符号
"


"pos from 动词 to 动词
"


"pos from 动词 to 其他
"


"pos from 其他 to 形容
"


"pos from 其他 to 介词
"


"pos from 其他 to 副词
"


"pos from 其他 to 助词
"


"pos from 其他 to 并列连词
"


"pos from 其他 to 定冠
"


"pos from 其他 to 感叹
"


"pos from 其他 to 名词
"
original sentence,He graduated summa cum laude from the University of California in 1936 .
wrong word,laude 5
mutation sentence,He graduated summa cum laude in 1936 .



"pos from 其他 to 数字
"


"pos from 其他 to 功能
"


"pos from 其他 to 代词
"


"pos from 其他 to 特指名词
"


"pos from 其他 to 标点
"


"pos from 其他 to 从句连词
"


"pos from 其他 to 符号
"


"pos from 其他 to 动词
"


"pos from 其他 to 其他
"
