all_test_sen_num,c_n_same_sen_num,filtered_mut_num,cnm_100_num,cnm_000_num,cnm_001_num,cnm_010_num
3826,167271,281097,234,295,381,117131


"pos from 形容 to 形容
"


"pos from 形容 to 介词
"


"pos from 形容 to 副词
"
"pos from 功能 to 代词
"


"pos from 功能 to 特指名词
"


"pos from 功能 to 标点
"


"pos from 功能 to 从句连词
"
original sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting bestiality ."
wrong word,to 20
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing permanent same-sex marriage in the United States to supporting bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting male bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting female bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting legal bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting universal bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting gay bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting Christian bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting domestic bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting voluntary bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting religious bestiality ."
mutation sentence,"In a 2003 interview with the Associated Press , Rick Santorum compared legalizing same-sex marriage in the United States to supporting bestiality itself ."



"pos from 功能 to 符号
"


"pos from 功能 to 动词
"


"pos from 功能 to 其他
"


"pos from 代词 to 形容
"


"pos from 代词 to 介词
"


"pos from 代词 to 副词
"


"pos from 代词 to 助词
"


"pos from 代词 to 并列连词
"


"pos from 代词 to 定冠
"


"pos from 代词 to 感叹
"


"pos from 代词 to 名词
"


"pos from 代词 to 数字
"


"pos from 代词 to 功能
"


"pos from 代词 to 代词
"


"pos from 代词 to 特指名词
"


"pos from 代词 to 标点
"


"pos from 代词 to 从句连词
"


"pos from 代词 to 符号
"


"pos from 代词 to 动词
"


"pos from 代词 to 其他
"


"pos from 特指名词 to 形容
"


"pos from 特指名词 to 介词
"


"pos from 特指名词 to 副词
"


"pos from 特指名词 to 助词
"


"pos from 特指名词 to 并列连词
"


"pos from 特指名词 to 定冠
"


"pos from 特指名词 to 感叹
"


"pos from 特指名词 to 名词
"


"pos from 特指名词 to 数字
"
original sentence,Lao ( Laos ) [ CONV_050815c_03.10 ]
wrong word,CONV_050815c_03.10 6
mutation sentence,Lao ( Laos ? ) [ CONV_050815c_03.10 ]
mutation sentence,Lao ( Laos . ) [ CONV_050815c_03.10 ]



"pos from 特指名词 to 功能
"


"pos from 特指名词 to 代词
"


"pos from 特指名词 to 特指名词
"


"pos from 特指名词 to 标点
"


"pos from 特指名词 to 从句连词
"


"pos from 特指名词 to 符号
"


"pos from 特指名词 to 动词
"


"pos from 特指名词 to 其他
"


"pos from 标点 to 形容
"


"pos from 标点 to 介词
"


"pos from 标点 to 副词
"


"pos from 标点 to 助词
"


"pos from 标点 to 并列连词
"


"pos from 标点 to 定冠
"


"pos from 标点 to 感叹
"


"pos from 标点 to 名词
"


"pos from 标点 to 数字
"


"pos from 标点 to 功能
"


"pos from 标点 to 代词
"


"pos from 标点 to 特指名词
"


"pos from 标点 to 标点
"


"pos from 标点 to 从句连词
"


"pos from 标点 to 符号
"


"pos from 标点 to 动词
"


"pos from 标点 to 其他
"


"pos from 从句连词 to 形容
"


"pos from 从句连词 to 介词
"
original sentence,"As her father and one of her brothers had before her , she had caught tuberculosis ."
wrong word,As 1
mutation sentence,"As her father and later one of her brothers had before her , she had caught tuberculosis ."

original sentence,I did n't understand what she 'd said except that they were visiting .
wrong word,except 9
mutation sentence,I did n't understand what she 'd said except that maybe they were visiting .
mutation sentence,I did n't understand what she 'd said except that perhaps they were visiting .
mutation sentence,I did n't understand what she 'd said except that apparently they were visiting .
mutation sentence,I did n't understand what she 'd said except that now they were visiting .
mutation sentence,I did n't understand what she 'd said except that technically they were visiting .
mutation sentence,I did n't understand what she 'd said except that sometimes they were visiting .

original sentence,"It 's portrayed as though it 's dark , black and evil ."
wrong word,as 4
mutation sentence,"It 's portrayed as though all it 's dark , black and evil ."

original sentence,New faces emerge as veteran politicians step down in Hong Kong legislative election
wrong word,as 4
mutation sentence,New faces emerge as veteran Labour politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran Beijing politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran Chinese politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran senior politicians step down in Hong Kong legislative election
mutation sentence,New faces emerge as veteran politicians step down in 2016 Hong Kong legislative election
mutation sentence,New faces emerge as veteran politicians step down in 2010 Hong Kong legislative election

original sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you ."
wrong word,about 16
mutation sentence,"You could also keep adjusting your shirt or your own hair , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair again , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair down , keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , while keeping a running dialogue about what look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what new look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what certain look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what current look is best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is really best for you ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you tonight ."
mutation sentence,"You could also keep adjusting your shirt or your hair , keeping a running dialogue about what look is best for you best ."

original sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than simply “ walk the dog . ”"
wrong word,than 16
mutation sentence,"For example , list “ take the dog for a walk by 12:30 ” rather than simply “ walk the dog . ) ”"

original sentence,"Add the quinoa and salt to the saucepan , stirring until completely incorporated ."
wrong word,until 11
mutation sentence,"Add the quinoa and salt to the saucepan , stirring until completely oil incorporated ."



"pos from 从句连词 to 副词
"


"pos from 从句连词 to 助词
"


"pos from 从句连词 to 并列连词
"


"pos from 从句连词 to 定冠
"


"pos from 从句连词 to 感叹
"


"pos from 从句连词 to 名词
"


"pos from 从句连词 to 数字
"


"pos from 从句连词 to 功能
"


"pos from 从句连词 to 代词
"


"pos from 从句连词 to 特指名词
"


"pos from 从句连词 to 标点
"


"pos from 从句连词 to 从句连词
"


"pos from 从句连词 to 符号
"


"pos from 从句连词 to 动词
"


"pos from 从句连词 to 其他
"


"pos from 符号 to 形容
"


"pos from 符号 to 介词
"


"pos from 符号 to 副词
"


"pos from 符号 to 助词
"


"pos from 符号 to 并列连词
"


"pos from 符号 to 定冠
"


"pos from 符号 to 感叹
"


"pos from 符号 to 名词
"


"pos from 符号 to 数字
"


"pos from 符号 to 功能
"


"pos from 符号 to 代词
"


"pos from 符号 to 特指名词
"


"pos from 符号 to 标点
"


"pos from 符号 to 从句连词
"


"pos from 符号 to 符号
"


"pos from 符号 to 动词
"


"pos from 符号 to 其他
"


"pos from 动词 to 形容
"
original sentence,"There are also many nail salons , frozen yogurt shops , coffee shops and gas stations ."
wrong word,frozen 8
mutation sentence,"There are also many nail salons too , frozen yogurt shops , coffee shops and gas stations ."



"pos from 动词 to 介词
"


"pos from 动词 to 副词
"


"pos from 动词 to 助词
"
original sentence,And then when you do it in an asymptotic way is like you do n't look at the small details .
wrong word,is 11
mutation sentence,And then when you do it in an asymptotic way is like if you do n't look at the small details .

original sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a place to be again ."
wrong word,be 23
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making this it a place to be again ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a fashionable place to be again ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a beautiful place to be again ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a place to be again too ."
mutation sentence,"Recent years are seeing a revival , and trendy hotels , bars , shops and restaurants are making it a place to be again quickly ."



"pos from 动词 to 并列连词
"


"pos from 动词 to 定冠
"


"pos from 动词 to 感叹
"


"pos from 动词 to 名词
"
original sentence,Living in stimulating environments with new objects may also help .
wrong word,help 10
mutation sentence,Living in stimulating environments with new objects may be also help .



"pos from 动词 to 数字
"


"pos from 动词 to 功能
"


"pos from 动词 to 代词
"


"pos from 动词 to 特指名词
"


"pos from 动词 to 标点
"


"pos from 动词 to 从句连词
"


"pos from 动词 to 符号
"


"pos from 动词 to 动词
"


"pos from 动词 to 其他
"


"pos from 其他 to 形容
"


"pos from 其他 to 介词
"


"pos from 其他 to 副词
"


"pos from 其他 to 助词
"


"pos from 其他 to 并列连词
"


"pos from 其他 to 定冠
"


"pos from 其他 to 感叹
"


"pos from 其他 to 名词
"
original sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or "" tmesis "" ."
wrong word,tmesis 17
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico ) "" or "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or simply "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or from "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or just "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or Latin "" tmesis "" ."
mutation sentence,"We translated "" lexical enjambment "" from Quilis ’s terms "" encabalgamiento léxico "" or as "" tmesis "" ."

original sentence,He graduated summa cum laude from the University of California in 1936 .
wrong word,laude 5
mutation sentence,He was graduated summa cum laude from the University of California in 1936 .
mutation sentence,He had graduated summa cum laude from the University of California in 1936 .
mutation sentence,He graduated law summa cum laude from the University of California in 1936 .

original sentence,You can make the word ' pen ' as ' penn ' or even ' pen ' .
wrong word,penn 11
mutation sentence,You can make the word ' pen ' as in ' penn ' or even ' pen ' .



"pos from 其他 to 数字
"


"pos from 其他 to 功能
"


"pos from 其他 to 代词
"


"pos from 其他 to 特指名词
"
original sentence,"The team used Formica fusca , an ant species that can form thousand-strong colonies ."
wrong word,Formica 4
mutation sentence,"The team used Formica fusca , an aggressive ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an exotic ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an endangered ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an unusual ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an African ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an Australian ant species that can form thousand-strong colonies ."
mutation sentence,"The team used Formica fusca , an ant tree species that can form thousand-strong colonies ."

original sentence,"In the wild , Formica fusca can encounter similar chemicals in aphids and dead ants ."
wrong word,Formica 5
mutation sentence,"In the wild , Formica fusca can still encounter similar chemicals in aphids and dead ants ."
mutation sentence,"In the wild , Formica fusca can encounter some similar chemicals in aphids and dead ants ."



"pos from 其他 to 标点
"


"pos from 其他 to 从句连词
"


"pos from 其他 to 符号
"


"pos from 其他 to 动词
"


"pos from 其他 to 其他
"
